mu,lambda,sigma,nse_best
0.9490923239048458,2.209915608130935,0.010450264701562873,0.2744869488869486
0.9471831029367939,2.361410072243451,0.02566569056687359,0.2943170500206619
0.9476010267931276,2.2510248695924573,0.0019068695606211162,0.2702611313030209
0.9494758799344378,2.153151068208241,0.014764387120330914,0.26630350011133386
0.949595153870143,2.302993671729868,0.006936840757773988,0.2713280732944058
0.9489509927879415,2.2601112693351726,0.017565101153689467,0.28977956752052536
0.9487362698323865,2.2139692673001017,0.06308116627995838,0.2904580775587319
0.9497686035888799,2.2626218058003036,0.004505099719630645,0.27765209685601333
0.9476872235604736,2.061025862764111,4.9103322400601e-05,0.27184363117602417
0.947640570181446,2.1825507242034443,0.005585159182216005,0.27398348212472845
0.9499497923240368,2.149524144798179,0.016045151878629507,0.27570851858214185
0.9493349844814258,2.066228212120929,0.005879249759510064,0.2708496455583188
0.9439734288963417,2.5556409042121238,0.016909778364057573,0.31839291265695413
0.9478191519522459,2.1882871187664725,0.0006738334439380545,0.27432984037214025
0.9491521885012478,2.139524092072979,0.009155366699061319,0.2702195674557186
0.9467389780393826,2.0748260720935647,0.005072661952532609,0.26852954241431215
0.9486372314825838,2.0262712189862557,0.003456600329707116,0.269129325172332
0.9484852757819274,2.2044877526497078,0.006322849631551397,0.2816288789926795
0.949295696906026,2.240781322064715,0.007304089713853612,0.2772190913009206
0.9496315378849982,2.1995369308816763,0.021191772496931095,0.28072716376667506
0.9485876399345871,2.147210134347972,0.01179145263843,0.27689627071111356
0.9498550499374561,2.1985146463280616,0.011063532063614401,0.27298275891291657
0.9492084517596585,2.36238025820053,0.0037951073863954133,0.2697869898099743
0.9484743469685051,2.1532374498777394,0.0008186460828248255,0.27415904735584107
0.9437240289532445,2.1182901852728775,0.0039045438151751213,0.2598886538290599
0.940766754874373,2.376221007010848,0.01891664522116654,0.28660497657950623
0.9476960337764057,2.212594016372291,0.005448739585581908,0.2680464780723142
0.9485671275747867,2.1100969357612716,0.007669297542576292,0.2634803742814126
0.9499246340346412,2.2460535833320705,0.007262964077383572,0.28061751301178706
0.949872853536113,2.4233300408922824,0.057010763434694495,0.2972511272867151
0.9499507483054317,2.128563238088248,0.023595511960093997,0.2859112498862212
0.9485049057922276,2.288473291819436,0.00525312037047404,0.27336644395087684
0.9484210085072629,2.2010315133951552,0.016938754868063722,0.28100431391464453
0.9466500472984107,2.1743788020776478,0.001230448673373219,0.2724964068613783
0.949540977972202,2.1560955258526615,0.01479503537722986,0.26942588418484426
0.9484735584052343,2.1732082842176945,0.002025319128370884,0.2742043855791848
0.9493124308892725,2.1481903224709122,0.002554177167480831,0.271564450444589
0.9491750388905127,2.1615960356538872,0.002068670539852324,0.2738383424948936
0.9493616652472445,2.30443286486865,0.0066893221817398655,0.2764544108279351
0.9486982350115089,2.1216075057772836,0.003833474199600473,0.27117643578206596
0.9499232970472425,2.134549953962478,0.006695868821121376,0.26745189286588744
0.9437045852986458,2.173790692984888,0.0001969036326470497,0.26794585277155525
0.9499989350973421,2.1181706597742442,0.005749793561860828,0.27679570076040316
0.9480997124321399,2.3389779967544277,7.361473005500496e-05,0.2699713647827625
0.9486812433274033,2.146621162089403,0.02946601641522616,0.2787629759830569
0.9495202189942356,2.214907451355431,0.010944087196799757,0.27654394849894914
0.9487572049358171,2.1530685048375378,0.005223909075221933,0.27383309929285915
0.9472211008236326,2.0494308378164994,7.172508422375046e-05,0.2706375481231731
0.948500890054439,2.1528974343862193,0.005175606314232606,0.2749734536663261
0.9469631646610166,2.3428952170071526,0.0035447281199969096,0.2614869080951914
0.9480289718170906,2.1291990548204804,0.013645769521626938,0.2713715220171308
0.9499248220503995,2.204336739356821,0.007305867515152032,0.2748972388595151
0.9479888687173081,2.200674472174545,0.005468049938359032,0.2708163443345115
0.9458529172746762,2.1197467795576754,0.005840021848472832,0.27208771370314555
0.9479224122410581,2.1375706097175025,0.010467153883363035,0.2675180378858121
0.9498376237875652,2.459352989989819,0.02437889593684821,0.3268821995597455
0.945996977971719,2.192671981258166,0.003578276414547288,0.27119141595798446
0.9478142849237372,2.225034436681585,0.05674639875507023,0.2852009559368853
0.9478366893290167,2.031392020810172,0.006482272940662771,0.26326816483159854
0.9429215015011174,2.077757033139615,7.960940830745722e-05,0.26640367778906693
0.9451014257101515,2.2251936073720273,0.009064754403094167,0.27295666905075666
0.9493981876589702,2.3005380544563923,0.002589647120040273,0.2671811378947484
0.9496143761955557,2.3400677054936585,0.00018357406470584925,0.2725199906832725
0.9499786782256516,2.0130565976266843,0.0010274795547693838,0.2708989444383495
0.9440708545605033,2.3045493895470037,0.0014007948995255705,0.2622382591027411
0.9469085484478728,2.081445362883775,0.00242433945677657,0.26986147275783545
0.9491667690106392,2.0789651285080657,0.0033888301990782745,0.27168488755831566
0.9494328337711893,2.1563391071043774,0.00771728026253844,0.2770215244717489
0.9475968524798644,2.1726762030745244,0.0003219613396236665,0.27381003040024066
0.9494960802412292,2.2949783939322934,0.005169100858317355,0.2693397844419012
0.9474935772734681,2.073834134991987,0.0013572902584584657,0.26866869427473017
0.949976264121577,2.150048959168421,0.02053439165635771,0.2720887429632398
0.9451537978963513,2.1088176102885785,0.0005032888456638185,0.27014527616038386
0.9467785231465186,2.1781378578535455,0.005034264626946139,0.2720120215079699
0.9483616032266329,2.221200836360126,0.01428298922102439,0.28897599714516775
0.9495162029018284,2.109057538472928,0.0018580419625556345,0.27371251920284256
0.9499338542836901,2.2038161380086514,0.0030698271138016155,0.2818704444957252
0.9487820535673581,2.318177710234881,0.012590999602153775,0.2821949467045467
0.9497941110686371,2.338603213317711,0.0053986754721538025,0.26825364015201936
0.9486843682884938,2.2403241508410163,0.0007438102902831423,0.27478164960259155
0.948988335333832,2.317850805067462,0.006182560524782077,0.2728525596691532
0.9488359986530337,2.171806726432317,0.0051831362591076464,0.27625901006836384
0.9472028159407531,2.1264988148359363,0.005671610859809395,0.27247113191203964
0.9493132992355746,2.200752747620098,0.01134881003198991,0.2800930570106017
0.9498305388100255,2.318039230506977,0.0025330017828229857,0.27308262277222006
0.9473421368914139,2.2378073277168196,0.000371226093979582,0.2722620518643315
0.9498211221555073,2.328889931383408,0.01922865130963383,0.2797079897712069
0.9496979853068284,2.3265342420649704,0.040953943778865944,0.2957076129240238
0.9457114953255202,2.3518409275139747,0.06519529008292005,0.3117399179184315
0.949548032186047,2.3391485247064585,0.02369260339579815,0.28942035225685947
0.9489002497142816,2.076211862171907,0.0035606647827493457,0.27027089781664426
0.9494930931465015,2.096594295885207,0.02844811855387055,0.27406572975700627
0.9498928044237884,2.1334733338798015,0.004093745290527884,0.2732762315223122
0.9487827848157055,2.4075113354944007,0.03994901304939415,0.29598540516226923
0.9451149064861272,2.240933122297273,0.0009487003487442692,0.2687951819552937
0.9497045194156095,2.183948730613574,0.006505068140559934,0.2776916578169233
0.9468181003662599,2.167115854158726,0.004050635616714449,0.26929787028714913
0.9490945022235204,2.1195133798426284,0.001678442423910398,0.27774997509467914
0.9490585491987886,2.37737659034135,0.028332348627256056,0.2798779032619342
0.9468323662322358,2.1327869422288597,0.013349912200807092,0.2685109551447644
0.9480563501290894,2.0378694898501912,0.002739234942048807,0.2709569065614198
0.9463182688961165,2.0279884780710664,0.006384017330787662,0.2674350796856626
0.9486133189155341,2.165804625218711,0.011244759710952214,0.277316068638366
0.9494412207894165,2.1998017353417394,0.05715784475676375,0.2879634922894112
0.9473597090704005,2.1650562379499796,0.00126752879634936,0.27266028069299
0.9484927017677847,2.187309054503417,0.00997513105377086,0.2774282195285279
0.9479394216431681,2.1767035241907244,0.0013162431644549112,0.2749491771180914
0.94935628578454,2.298643645048341,0.0003222577866603849,0.27430903538375806
0.9492452108791654,2.0847278008686585,0.0018948769869940097,0.27162550191415236
0.9457064535990924,2.0600722314726956,0.00041429139436668374,0.2693095086499657
0.9484376720967804,2.177706635863328,0.000833095055664912,0.2752795048538761
0.9495275649605739,2.175419940958858,0.009376130674226402,0.27177665402900186
0.9437976983108748,2.427852699447324,0.003302650664661089,0.33774280670670653
0.9465329172727279,2.1148443920301143,0.001620547567324715,0.27182024530188487
0.9463398311744013,2.182192958818679,0.03166854393710239,0.27380091930398665
0.948227811501959,2.2055992060448624,0.0022309636031297097,0.2740459499574176
0.9489699740231876,2.1525055326270923,0.0025831131421617526,0.27617389178423957
0.9496190419546137,2.134799189144396,0.0005377270660193667,0.27608645495222806
0.944294526695215,2.045276547575579,0.0014094288603804907,0.26609029337138346
0.9493774989086053,2.308570486425645,0.0009817005458894524,0.27446082703872143
0.9499998908628117,2.1501747228973525,0.00651095537893166,0.2775390902144381
0.949432686279704,2.224547034949663,0.0006741571936088376,0.27621136439557215
0.9487486677600877,2.183561000097491,0.006559283780601288,0.2743188806789073
0.9482097079628078,2.3291499018719337,0.0015838655085746668,0.26926221372133663
0.9461984772911408,2.208022139622537,0.00432841363469817,0.26723526514594875
0.9494251309632908,2.329587251279599,0.005774164776433244,0.27229980811334575
0.9496353446916335,2.235157435624558,0.00759674397282103,0.27823612894557814
0.9486494015196595,2.2509436769337277,0.004232666284641906,0.2720965763018778
0.949924773756281,2.377811969842251,0.0006471119890059885,0.270661973895563
0.9491894219082182,2.5141002371650707,0.058251085186769413,0.288977959708837
0.9494631621950018,2.1786453641132053,0.006534758513112526,0.27402463151819934
0.9488512432912428,2.2568878409296413,0.027647816828234396,0.27852335058855027
0.9484430473288664,2.094697655717342,0.0019840729816819505,0.2737415260984002
0.9474986858990795,2.2781298953192013,0.0006632440653253192,0.2722274239085465
0.9483144959321428,2.1805655062242018,0.00972121316422414,0.2739137437807132
0.9478649264310407,2.1519449658601983,0.015410806438145587,0.2748061511085189
0.9493832457169586,2.329281570948986,0.021366827178524162,0.2938510791606197
0.9469227003836211,2.049834252497543,0.001820803163415552,0.2684662735587896
0.9492926242532373,2.181271675455351,0.01016573348301978,0.28132097186906146
0.9478716761634252,2.141160535284275,0.00154429225754803,0.2734472983277745
0.948183050485109,2.3218974319432713,0.017973502579987043,0.2879533819815555
0.9470193117710544,2.129105524047525,0.005751328400990208,0.26971675738636325
0.9496341037061913,2.269279936469246,0.008716983152708347,0.27288759368489945
0.9493013250920322,2.173128280576332,0.016014682505684576,0.27428779261435976
0.9479802635677378,2.2701978356754076,0.0017009262078269806,0.2723383179165296
0.9479277465328089,2.0710053508091497,0.0033787436862658727,0.26574312505640896
0.9469683937684825,2.2859112493177367,0.003535766829709397,0.26577631351068476
0.9473542286292446,2.1782506249655595,0.0049024835978957685,0.2726444218675269
0.9484734827389993,2.1097637580682487,0.0029071655078106388,0.2705210139417612
0.9497669023776142,2.342860090742154,0.01518380922828625,0.27931839403679837
